Glyph Name,Master A,Master A LSB,Master A RSB,Master A Adv Width,Master B,Master B LSB,Master B RSB,Master B Advance Width,Match?
i,x1y1t1-min,34,34,70,x1y1000t1-min,34,34,70,Yes
j,x1y1t1-min,-19,31,59,x1y1000t1-min,-19,31,59,Yes
k,x1y1t1-min,31,28,150,x1y1000t1-min,31,28,150,Yes
l,x1y1t1-min,31,31,64,x1y1000t1-min,31,31,64,Yes
m,x1y1t1-min,31,34,229,x1y1000t1-min,31,34,229,Yes
n,x1y1t1-min,31,34,160,x1y1000t1-min,31,34,160,Yes
o,x1y1t1-min,31,31,160,x1y1000t1-min,31,31,160,Yes
p,x1y1t1-min,191.0,-129.0,160,x1y1000t1-min,191.0,-129.0,160,Yes
q,x1y1t1-min,31,31,157,x1y1000t1-min,31,31,157,Yes
r,x1y1t1-min,31,5,99,x1y1000t1-min,31,5,99,Yes
s,x1y1t1-min,23,25,124,x1y1000t1-min,23,21,120,No
t,x1y1t1-min,31,3,102,x1y1000t1-min,31,3,102,Yes
u,x1y1t1-min,191.0,-126.0,160,x1y1000t1-min,191.0,-126.0,160,Yes
v,x1y1t1-min,34,0,127,x1y1000t1-min,34,0,127,Yes
w,x1y1t1-min,34,31,229,x1y1000t1-min,34,31,229,Yes
x,x1y1t1-min,22,22,152,x1y1000t1-min,22,22,152,Yes
y,x1y1t1-min,34,0,128,x1y1000t1-min,34,0,128,Yes
z,x1y1t1-min,8,11,91,x1y1000t1-min,8,23,103,No
zero,x1y1t1-min,25,25,138,x1y1000t1-min,25,25,138,Yes
one,x1y1t1-min,4,0,104,x1y1000t1-min,4,0,104,Yes
two,x1y1t1-min,29,24,128,x1y1000t1-min,29,33,137,No
three,x1y1t1-min,37,35,160,x1y1000t1-min,37,35,160,Yes
four,x1y1t1-min,14,6,122,x1y1000t1-min,14,12,128,No
five,x1y1t1-min,26,26,142,x1y1000t1-min,26,26,142,Yes
six,x1y1t1-min,25,36,156,x1y1000t1-min,25,13,133,No
seven,x1y1t1-min,18,13,126,x1y1000t1-min,18,40,153,No
eight,x1y1t1-min,25,25,148,x1y1000t1-min,25,43,166,No
nine,x1y1t1-min,181.0,-120.0,156,x1y1000t1-min,200.0,-114.0,181,No
space,x1y1t1-min,0,42,42,x1y1000t1-min,0,42,42,Yes
nbspace,x1y1t1-min,0,100,100,x1y1000t1-min,0,100,100,Yes
period,x1y1t1-min,17,17,36,x1y1000t1-min,17,17,36,Yes
comma,x1y1t1-min,69.0,-37.0,44,x1y1000t1-min,69.0,-37.0,44,Yes
colon,x1y1t1-min,17.0,19.0,38,x1y1000t1-min,17.0,19.0,38,Yes
semicolon,x1y1t1-min,22.0,-37.0,44,x1y1000t1-min,22.0,-37.0,44,Yes
ellipsis,x1y1t1-min,17.0,17.0,106,x1y1000t1-min,17.0,17.0,106,Yes
exclam,x1y1t1-min,17,17,36,x1y1000t1-min,17,17,36,Yes
question,x1y1t1-min,32,47,166,x1y1000t1-min,32,47,166,Yes
bullet,x1y1t1-min,13,13,38,x1y1000t1-min,13,13,38,Yes
numbersign,x1y1t1-min,-11,2,205,x1y1000t1-min,-4,2,205,No
slash,x1y1t1-min,85.0,65.0,92,x1y1000t1-min,85.0,65.0,92,Yes
backslash,x1y1t1-min,7,7,72,x1y1000t1-min,7,7,72,Yes
periodcentered,x1y1t1-min,203.0,205.0,410,x1y1000t1-min,183.0,225.0,410,No
asterisk,x1y1t1-min,0,0,155,x1y1000t1-min,-17,-18,171,No
hyphen,x1y1t1-min,20,20,157,x1y1000t1-min,20,20,157,Yes
endash,x1y1t1-min,10,10,237,x1y1000t1-min,10,10,237,Yes
emdash,x1y1t1-min,10,10,367,x1y1000t1-min,10,10,367,Yes
underscore,x1y1t1-min,20.0,20.0,157,x1y1000t1-min,20.0,20.0,157,Yes
parenleft,x1y1t1-min,35,0,124,x1y1000t1-min,35,12,136,No
parenright,x1y1t1-min,159.0,-124.0,124,x1y1000t1-min,183.0,-124.0,148,No
braceleft,x1y1t1-min,23,12,155,x1y1000t1-min,23,12,155,Yes
braceright,x1y1t1-min,189.0,-154.0,155,x1y1000t1-min,189.0,-154.0,155,Yes
bracketleft,x1y1t1-min,47,0,136,x1y1000t1-min,47,12,148,No
bracketright,x1y1t1-min,188.0,-9.0,268,x1y1000t1-min,195.0,-136.0,148,No
quotedblleft,x1y1t1-min,20.0,20.0,176,x1y1000t1-min,20.0,53.0,209,No
quotedblright,x1y1t1-min,196.0,-156.0,176,x1y1000t1-min,196.0,-156.0,176,Yes
quoteleft,x1y1t1-min,20,20,52,x1y1000t1-min,20,20,52,Yes
quoteright,x1y1t1-min,79.0,-25.0,66,x1y1000t1-min,79.0,-25.0,66,Yes
